frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
97,3.88,0.98,1,-0.049,0.183,0.02,-0.011000000000000001,0.327,0.0,0.0,0.6839999999999999,0.0,0.282,0.8460000000000001,0.008,0.202,0.12,0.1,0.028000000000000004,0.188,0.0,0.072,0.0,0.0,0.0
98,3.92,0.98,1,-0.05,0.185,0.02,-0.013000000000000001,0.32799999999999996,0.0,0.0,0.6559999999999999,0.0,0.27599999999999997,0.852,0.0,0.2,0.11599999999999999,0.094,0.024,0.188,0.0,0.057999999999999996,0.0,0.0,0.0
99,3.96,0.98,1,-0.055999999999999994,0.188,0.021,-0.013000000000000001,0.32899999999999996,0.024,0.0,0.634,0.0,0.254,0.8,0.024,0.20800000000000002,0.118,0.06,0.026000000000000002,0.20600000000000002,0.0,0.038,0.0,0.0,0.20400000000000001
100,4.0,0.98,1,-0.126,0.268,0.002,-0.04,0.32799999999999996,0.046,0.0,0.606,0.0,0.21000000000000002,0.742,0.05,0.192,0.11000000000000001,0.03,0.026000000000000002,0.236,0.0,0.016,0.0,0.0,0.40800000000000003
101,4.04,0.98,1,-0.11599999999999999,0.316,-0.001,-0.045,0.32299999999999995,0.057999999999999996,0.0,0.606,0.0,0.16,0.704,0.08399999999999999,0.176,0.088,0.0,0.024,0.288,0.0,0.0,0.0,0.0,0.588
102,4.08,0.98,1,-0.12300000000000001,0.307,0.004,-0.038,0.31,0.041999999999999996,0.0,0.624,0.0,0.136,0.73,0.09,0.16599999999999998,0.068,0.0,0.046,0.33799999999999997,0.0,0.0,0.002,0.0,0.548
103,4.12,0.98,1,-0.10300000000000001,0.304,0.022000000000000002,-0.024,0.297,0.018,0.0,0.662,0.0,0.136,0.764,0.098,0.16799999999999998,0.062,0.0,0.076,0.366,0.0,0.0,0.004,0.0,0.462
104,4.16,0.98,1,-0.096,0.248,0.031,-0.013000000000000001,0.284,0.008,0.0,0.6839999999999999,0.0,0.162,0.788,0.11200000000000002,0.2,0.068,0.0,0.11200000000000002,0.388,0.0,0.0,0.004,0.0,0.3
105,4.2,0.98,1,-0.05,0.23399999999999999,0.034,-0.002,0.275,0.0,0.0,0.692,0.0,0.178,0.8140000000000001,0.118,0.21800000000000003,0.072,0.0,0.126,0.394,0.0,0.0,0.002,0.0,0.152
106,4.24,0.98,1,-0.053,0.21899999999999997,0.026000000000000002,0.0,0.271,0.0,0.0,0.682,0.0,0.2,0.8619999999999999,0.136,0.238,0.072,0.0,0.144,0.4,0.0,0.0,0.0,0.0,0.078
107,4.28,0.98,1,-0.065,0.22399999999999998,0.011000000000000001,-0.009000000000000001,0.275,0.024,0.0,0.662,0.0,0.16999999999999998,0.806,0.128,0.21600000000000003,0.074,0.0,0.13999999999999999,0.404,0.0,0.0,0.0,0.018,0.252
