frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
98,1.688,0.98,1,-0.192,0.266,0.122,0.24,0.026,0.03,0,0.152,0,0,0.032,0,0,0,0.104,0.058,0.092,0,0.074,0,0,0
99,1.705,0.98,1,-0.188,0.258,0.12,0.256,0.026,0.03,0,0.162,0,0,0.016,0.002,0,0,0.116,0.052,0.124,0,0.082,0,0,0
100,1.723,0.98,1,-0.215,0.266,0.119,0.278,0.024,0.044,0,0.178,0,0,0,0.002,0,0,0.166,0.054,0.134,0,0.096,0.004,0,0
101,1.74,0.98,1,-0.231,0.26,0.11,0.297,0.023,0.072,0,0.176,0,0,0,0.002,0,0,0.23,0.048,0.182,0,0.118,0.004,0,0
102,1.757,0.98,1,-0.24,0.26,0.106,0.311,0.022,0.094,0,0.178,0,0,0,0,0,0,0.28,0.036,0.212,0,0.126,0.022,0,0
103,1.774,0.93,1,-0.242,0.254,0.104,0.327,0.02,0.132,0,0.158,0.002,0,0,0.006,0,0,0.278,0.126,0.252,0,0.158,0.018,0,0
104,1.792,0.98,1,-0.238,0.251,0.106,0.34,0.017,0.16,0,0.146,0.012,0,0,0.006,0,0,0.254,0.38,0.24,0,0.208,0.018,0,0
105,1.809,0.98,1,-0.234,0.251,0.104,0.345,0.016,0.188,0,0.132,0.02,0,0,0.006,0,0,0.22,0.596,0.2,0,0.298,0,0,0
106,1.826,0.98,1,-0.239,0.246,0.101,0.357,0.013,0.178,0,0.122,0.026,0,0,0,0,0,0.248,0.62,0.132,0,0.338,0.002,0,0
107,1.843,0.98,1,-0.245,0.247,0.101,0.364,0.011,0.162,0,0.11,0.016,0,0,0,0.012,0,0.256,0.63,0.08,0,0.356,0.002,0,0
108,1.861,0.98,1,-0.249,0.247,0.1,0.369,0.009,0.152,0,0.112,0.008,0,0,0.022,0.012,0,0.298,0.558,0.052,0,0.362,0.002,0,0
109,1.878,0.98,1,-0.25,0.245,0.095,0.377,0.008,0.15,0,0.122,0,0,0,0.024,0.012,0,0.282,0.526,0.024,0,0.382,0,0,0
110,1.895,0.98,1,-0.252,0.244,0.094,0.377,0.006,0.138,0,0.13,0.008,0,0,0.024,0,0,0.26,0.396,0.012,0,0.392,0,0,0
111,1.912,0.98,1,-0.254,0.247,0.097,0.383,0.002,0.118,0,0.118,0.024,0,0,0.002,0,0,0.218,0.424,0,0,0.376,0.01,0,0
112,1.929,0.98,1,-0.256,0.246,0.095,0.382,0.001,0.11,0,0.114,0.026,0,0,0.012,0,0,0.2,0.512,0,0,0.364,0.01,0,0
113,1.947,0.98,1,-0.254,0.246,0.097,0.384,-0.002,0.114,0,0.12,0.026,0,0,0.018,0,0,0.206,0.552,0,0,0.354,0.01,0,0
114,1.964,0.98,1,-0.252,0.249,0.1,0.381,-0.004,0.124,0,0.138,0.038,0,0,0.024,0,0,0.2,0.546,0,0,0.352,0,0,0
115,1.981,0.98,1,-0.246,0.246,0.099,0.376,-0.004,0.128,0,0.15,0.054,0,0,0.012,0,0,0.216,0.53,0.004,0,0.358,0.004,0,0
116,1.998,0.98,1,-0.254,0.25,0.102,0.374,-0.006,0.124,0,0.15,0.052,0,0,0.012,0,0,0.224,0.514,0.004,0,0.358,0.004,0,0
117,2.016,0.98,1,-0.255,0.251,0.108,0.372,-0.008,0.118,0,0.144,0.034,0,0,0.006,0,0,0.262,0.506,0.004,0,0.348,0.004,0,0
118,2.033,0.98,1,-0.251,0.254,0.112,0.371,-0.01,0.12,0,0.14,0.022,0,0,0.016,0,0,0.284,0.44,0,0,0.332,0,0,0
119,2.05,0.98,1,-0.249,0.254,0.112,0.367,-0.011,0.122,0,0.136,0.018,0,0,0.02,0,0,0.312,0.42,0,0,0.334,0,0,0
120,2.067,0.98,1,-0.249,0.256,0.114,0.366,-0.014,0.122,0,0.13,0.012,0,0,0.018,0,0,0.318,0.36,0,0,0.334,0.008,0,0
121,2.084,0.98,1,-0.249,0.255,0.114,0.365,-0.015,0.128,0,0.126,0.004,0,0,0.008,0,0,0.334,0.362,0,0,0.338,0.008,0,0.004
122,2.102,0.98,1,-0.248,0.255,0.115,0.359,-0.019,0.132,0,0.136,0.004,0,0,0.006,0.002,0,0.312,0.44,0,0,0.336,0.008,0,0.006
123,2.119,0.93,1,-0.246,0.255,0.118,0.352,-0.02,0.128,0,0.154,0.01,0,0,0.006,0.002,0,0.304,0.48,0.006,0,0.342,0,0,0.01
124,2.136,0.93,1,-0.242,0.255,0.119,0.347,-0.019,0.114,0,0.164,0.01,0,0,0.006,0.002,0,0.224,0.5,0.04,0,0.332,0,0,0.006
125,2.153,0.93,1,-0.232,0.261,0.125,0.343,-0.019,0.104,0,0.172,0.006,0,0,0,0,0,0.224,0.396,0.078,0,0.302,0,0,0.004
126,2.171,0.98,1,-0.231,0.267,0.127,0.335,-0.017,0.104,0,0.174,0,0,0,0.002,0,0,0.198,0.348,0.13,0,0.27,0.014,0,0
127,2.188,0.93,1,-0.235,0.262,0.132,0.332,-0.018,0.098,0,0.174,0,0,0,0.002,0,0,0.256,0.232,0.15,0,0.242,0.026,0,0
128,2.205,0.98,1,-0.22,0.266,0.132,0.329,-0.018,0.084,0,0.174,0,0,0,0.002,0,0,0.276,0.144,0.176,0,0.24,0.068,0,0
129,2.222,0.93,1,-0.196,0.275,0.131,0.323,-0.016,0.064,0,0.164,0,0,0,0,0,0,0.298,0.05,0.162,0,0.238,0.084,0,0
130,2.24,0.98,1,-0.163,0.274,0.129,0.311,-0.012,0.046,0,0.166,0,0,0,0.002,0,0,0.314,0.026,0.156,0,0.248,0.116,0,0
131,2.257,0.98,1,-0.124,0.247,0.133,0.311,-0.012,0.042,0,0.174,0,0,0,0.002,0,0,0.298,0,0.118,0,0.228,0.134,0,0
132,2.274,0.98,1,-0.121,0.247,0.144,0.305,-0.014,0.032,0,0.186,0,0,0,0.002,0,0,0.302,0,0.118,0,0.212,0.162,0,0
133,2.291,0.98,1,-0.123,0.259,0.151,0.297,-0.014,0.038,0,0.206,0,0,0,0,0,0,0.302,0,0.104,0,0.172,0.196,0.022,0
134,2.308,0.98,1,-0.119,0.264,0.163,0.287,-0.015,0.04,0,0.212,0,0,0,0,0,0,0.316,0.002,0.12,0,0.154,0.21,0.032,0
135,2.326,0.98,1,-0.121,0.272,0.168,0.283,-0.017,0.044,0,0.226,0,0,0,0,0,0,0.318,0.002,0.114,0,0.132,0.23,0.036,0
136,2.343,0.98,1,-0.118,0.276,0.169,0.278,-0.018,0.042,0,0.214,0,0,0,0,0,0,0.316,0.002,0.112,0,0.12,0.228,0.052,0
137,2.36,0.98,1,-0.117,0.273,0.169,0.272,-0.018,0.042,0.008,0.218,0,0,0,0,0,0,0.302,0,0.106,0,0.1,0.228,0.098,0
138,2.377,0.98,1,-0.115,0.272,0.17,0.27,-0.019,0.048,0.026,0.22,0,0,0,0,0,0,0.308,0,0.098,0,0.088,0.242,0.136,0
139,2.395,0.98,1,-0.111,0.262,0.171,0.265,-0.019,0.048,0.03,0.23,0,0,0,0,0,0,0.314,0,0.108,0,0.084,0.254,0.142,0
140,2.412,0.98,1,-0.095,0.255,0.174,0.263,-0.019,0.046,0.024,0.232,0,0,0,0,0,0,0.316,0,0.098,0,0.086,0.266,0.104,0
141,2.429,0.98,1,-0.093,0.255,0.168,0.257,-0.016,0.038,0.014,0.23,0.008,0,0,0,0,0,0.314,0,0.082,0,0.096,0.274,0.108,0
142,2.446,0.98,1,-0.092,0.25,0.166,0.251,-0.015,0.024,0.028,0.226,0.008,0,0,0,0,0,0.296,0,0.064,0,0.1,0.284,0.108,0
143,2.463,0.98,1,-0.084,0.239,0.164,0.249,-0.015,0.012,0.036,0.222,0.008,0,0,0,0,0,0.286,0,0.046,0,0.11,0.296,0.138,0
144,2.481,0.98,1,-0.077,0.225,0.156,0.243,-0.016,0.006,0.048,0.214,0,0,0,0,0,0,0.264,0,0.054,0,0.112,0.304,0.14,0
145,2.498,0.98,1,-0.074,0.223,0.155,0.24,-0.016,0.012,0.054,0.212,0,0,0,0,0,0,0.248,0,0.056,0,0.122,0.308,0.146,0
146,2.515,0.98,1,-0.074,0.22,0.153,0.238,-0.017,0.02,0.07,0.204,0,0,0,0,0,0,0.244,0,0.074,0,0.114,0.308,0.152,0
147,2.532,0.98,1,-0.072,0.217,0.152,0.233,-0.016,0.018,0.068,0.212,0,0,0,0,0,0,0.232,0,0.084,0,0.106,0.288,0.13,0
148,2.55,0.98,1,-0.071,0.216,0.152,0.229,-0.014,0.012,0.076,0.206,0,0,0,0,0,0,0.224,0.002,0.088,0,0.098,0.262,0.086,0
149,2.567,0.98,1,-0.069,0.217,0.157,0.223,-0.011,0.004,0.058,0.202,0,0,0,0,0,0,0.212,0.006,0.082,0,0.098,0.232,0.046,0
150,2.584,0.98,1,-0.07,0.221,0.163,0.217,-0.008,0,0.074,0.19,0,0,0,0,0,0,0.22,0.006,0.062,0,0.104,0.218,0.064,0
151,2.601,0.98,1,-0.066,0.236,0.173,0.211,-0.006,0,0.066,0.178,0,0,0,0,0,0,0.208,0.004,0.048,0,0.11,0.206,0.096,0
152,2.619,0.98,1,-0.063,0.237,0.173,0.205,-0.001,0,0.082,0.166,0,0,0,0,0,0,0.196,0,0.04,0,0.12,0.21,0.136,0
153,2.636,0.98,1,-0.066,0.244,0.178,0.202,0.002,0,0.056,0.158,0,0,0,0,0,0,0.182,0,0.046,0,0.128,0.19,0.154,0
154,2.653,0.98,1,-0.072,0.254,0.179,0.199,0.004,0,0.04,0.158,0,0,0,0,0,0,0.184,0,0.044,0,0.128,0.19,0.158,0
155,2.67,0.98,1,-0.07,0.255,0.185,0.192,0.005,0,0.044,0.164,0,0,0,0,0,0,0.172,0,0.046,0,0.128,0.168,0.154,0
156,2.687,0.98,1,-0.064,0.25,0.185,0.184,0.006,0,0.07,0.17,0,0,0,0,0,0,0.156,0,0.038,0,0.124,0.156,0.148,0
157,2.705,0.98,1,-0.061,0.249,0.188,0.18,0.006,0,0.084,0.166,0,0,0,0,0,0,0.15,0,0.05,0,0.134,0.154,0.172,0
158,2.722,0.98,1,-0.055,0.241,0.189,0.174,0.007,0,0.096,0.16,0.012,0,0,0,0,0,0.156,0,0.056,0,0.132,0.158,0.162,0
