frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
84,3.36,0.98,1,-0.07200000000000001,0.183,0.002,-0.018000000000000002,0.33899999999999997,0.0,0.0,0.7,0.0,0.32599999999999996,0.792,0.16599999999999998,0.26,0.064,0.118,0.11599999999999999,0.096,0.0,0.18,0.0,0.01,0.04
85,3.4,0.98,1,-0.07200000000000001,0.184,0.002,-0.016,0.337,0.0,0.0,0.696,0.0,0.32599999999999996,0.8019999999999999,0.16399999999999998,0.268,0.06999999999999999,0.10800000000000001,0.092,0.078,0.0,0.178,0.0,0.01,0.04
86,3.44,0.98,1,-0.073,0.185,0.002,-0.015,0.33299999999999996,0.0,0.0,0.7,0.0,0.32999999999999996,0.826,0.16,0.27599999999999997,0.08,0.088,0.074,0.086,0.0,0.182,0.0,0.01,0.038
87,3.48,0.98,1,-0.081,0.17600000000000002,-0.0,-0.016,0.332,0.0,0.0,0.712,0.0,0.33199999999999996,0.8300000000000001,0.16599999999999998,0.29,0.08399999999999999,0.096,0.074,0.08199999999999999,0.0,0.18,0.0,0.0,0.03
88,3.52,0.98,1,-0.075,0.17600000000000002,-0.002,-0.017,0.332,0.0,0.0,0.714,0.0,0.32999999999999996,0.8119999999999999,0.16399999999999998,0.296,0.086,0.098,0.066,0.06999999999999999,0.0,0.18,0.0,0.012,0.022
89,3.56,0.98,1,-0.077,0.172,-0.001,-0.018000000000000002,0.332,0.0,0.0,0.722,0.0,0.322,0.796,0.176,0.296,0.08399999999999999,0.11200000000000002,0.068,0.052000000000000005,0.0,0.176,0.0,0.012,0.01
90,3.6,0.98,1,-0.07,0.168,-0.003,-0.018000000000000002,0.332,0.0,0.0,0.726,0.0,0.31,0.758,0.162,0.286,0.09,0.10600000000000001,0.057999999999999996,0.048,0.0,0.16799999999999998,0.0,0.012,0.006
91,3.64,0.98,1,-0.068,0.16699999999999998,0.001,-0.019,0.33399999999999996,0.0,0.0,0.732,0.0,0.304,0.744,0.156,0.27999999999999997,0.098,0.10800000000000001,0.064,0.06,0.0,0.16399999999999998,0.0,0.0,0.0
92,3.68,0.98,1,-0.067,0.168,0.002,-0.019,0.33399999999999996,0.0,0.0,0.722,0.0,0.296,0.704,0.13999999999999999,0.284,0.10200000000000001,0.10400000000000001,0.064,0.064,0.0,0.156,0.0,0.0,0.0
93,3.72,0.98,1,-0.067,0.16899999999999998,0.004,-0.019,0.33399999999999996,0.0,0.0,0.72,0.0,0.294,0.708,0.13799999999999998,0.288,0.1,0.092,0.072,0.072,0.0,0.148,0.0,0.0,0.0
