frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
51,2.04,0.98,1,0.29,0.25,0.14300000000000002,-0.271,0.016,0.182,0.06999999999999999,0.0,0.004,0.01,0.06,0.0,0.022,0.122,0.144,0.052000000000000005,0.05,0.0,0.0,0.124,0.142,0.11200000000000002
52,2.08,0.98,1,0.303,0.284,0.11199999999999999,-0.26899999999999996,-0.001,0.13999999999999999,0.03,0.0,0.004,0.032,0.068,0.0,0.026000000000000002,0.13799999999999998,0.188,0.054000000000000006,0.034,0.004,0.0,0.126,0.118,0.258
53,2.12,0.88,1,0.29,0.31,0.08900000000000001,-0.271,-0.018000000000000002,0.10400000000000001,0.0,0.0,0.0,0.054000000000000006,0.078,0.012,0.041999999999999996,0.174,0.268,0.041999999999999996,0.03,0.02,0.0,0.158,0.094,0.356
54,2.16,0.98,1,0.316,0.27699999999999997,0.106,-0.266,-0.025,0.10200000000000001,0.012,0.0,0.0,0.05600000000000001,0.08399999999999999,0.012,0.04,0.198,0.33199999999999996,0.034,0.034,0.03,0.0,0.146,0.052000000000000005,0.31
55,2.2,0.98,1,0.304,0.244,0.09,-0.27,-0.04,0.10600000000000001,0.022,0.0,0.0,0.04,0.11200000000000002,0.012,0.034,0.21400000000000002,0.356,0.044,0.026000000000000002,0.041999999999999996,0.004,0.13,0.024,0.194
56,2.24,0.98,1,0.298,0.22899999999999998,0.079,-0.268,-0.051,0.118,0.036,0.0,0.0,0.026000000000000002,0.086,0.0,0.018,0.21000000000000002,0.33999999999999997,0.038,0.044,0.044,0.02,0.08199999999999999,0.0,0.11399999999999999
57,2.28,0.98,1,0.29100000000000004,0.215,0.075,-0.265,-0.057,0.124,0.064,0.0,0.0,0.02,0.088,0.016,0.01,0.198,0.33599999999999997,0.028000000000000004,0.044,0.034,0.028000000000000004,0.052000000000000005,0.0,0.062
58,2.32,0.98,1,0.294,0.212,0.075,-0.27,-0.061,0.11200000000000002,0.062,0.0,0.0,0.02,0.074,0.044,0.014000000000000002,0.19,0.322,0.008,0.06,0.026000000000000002,0.032,0.044,0.0,0.036
59,2.36,0.98,1,0.3,0.215,0.075,-0.26899999999999996,-0.062,0.092,0.05600000000000001,0.0,0.0,0.024,0.06999999999999999,0.066,0.012,0.182,0.306,0.008,0.057999999999999996,0.008,0.02,0.041999999999999996,0.012,0.028000000000000004
60,2.4,0.98,1,0.304,0.207,0.07,-0.281,-0.064,0.074,0.022,0.0,0.0,0.032,0.048,0.074,0.012,0.186,0.292,0.0,0.044,0.008,0.01,0.08399999999999999,0.036,0.02
61,2.44,0.98,1,0.308,0.20600000000000002,0.067,-0.28600000000000003,-0.066,0.08199999999999999,0.04,0.0,0.0,0.04,0.036,0.068,0.002,0.182,0.284,0.0,0.03,0.0,0.002,0.11599999999999999,0.046,0.024
62,2.48,0.98,1,0.313,0.193,0.055,-0.295,-0.069,0.10400000000000001,0.057999999999999996,0.0,0.01,0.038,0.038,0.074,0.03,0.174,0.298,0.0,0.022,0.0,0.0,0.146,0.057999999999999996,0.026000000000000002
63,2.52,0.98,1,0.32,0.19899999999999998,0.05,-0.298,-0.068,0.122,0.062,0.0,0.01,0.036,0.04,0.08,0.044,0.16599999999999998,0.286,0.0,0.018,0.0,0.0,0.16799999999999998,0.054000000000000006,0.03
64,2.56,0.98,1,0.317,0.19399999999999998,0.05,-0.294,-0.066,0.12,0.038,0.0,0.01,0.03,0.028000000000000004,0.086,0.044,0.154,0.256,0.01,0.012,0.0,0.0,0.2,0.074,0.022
